数据库：年度数据
时间：最近20年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
麻类产量(万吨),23.39,20.31,21.79,18.13,15.56,16.51,17.56,19.62,22.34,24.23,31.91,56.09,66.12,89.09,110.49,107.36,85.30,96.37,68.14,52.95
黄红麻产量(万吨),2.92,2.86,2.91,3.39,4.78,5.06,5.73,6.35,7.02,6.48,7.13,8.02,9.64,8.68,8.28,8.69,9.98,15.90,10.60,12.59
亚麻产量(万吨),,1.30,1.08,1.23,1.10,1.02,2.09,3.39,3.10,3.78,8.37,25.47,26.15,42.51,69.46,66.92,46.47,52.43,34.52,21.44
大麻产量(万吨),,10.62,12.47,7.16,2.60,3.14,1.80,1.40,1.34,1.00,1.15,2.97,4.69,8.29,4.13,3.59,2.63,3.01,2.02,1.70
苎麻产量(万吨),,5.39,5.08,5.22,5.83,6.30,6.77,7.67,9.71,12.21,14.65,18.84,24.01,28.74,27.71,25.48,24.49,23.85,19.70,16.10
甘蔗产量(万吨),10938.81,10809.71,10440.43,10321.54,10706.43,11578.82,11926.35,11574.61,10867.35,10598.23,11200.37,12152.06,11179.44,9709.22,8663.80,8984.94,9023.48,9010.69,7566.27,6827.98
甜菜产量(万吨),1227.29,1127.66,938.41,854.49,508.79,509.91,628.66,877.20,795.76,705.12,546.53,853.90,902.91,750.75,788.11,585.71,618.17,1281.99,1088.86,807.35
烟叶产量(万吨),215.34,224.10,239.14,257.39,267.73,284.67,321.95,324.60,299.78,283.20,296.20,275.94,242.22,245.56,268.30,240.60,225.74,244.65,234.96,255.23
烤烟产量(万吨),202.11,210.97,227.87,244.50,249.52,269.68,304.02,302.31,278.58,261.19,275.05,258.20,224.94,225.50,243.50,216.27,201.48,213.52,204.52,223.80
蔬菜产量(万吨),72102.56,70346.72,69192.68,67434.16,66425.10,64948.65,63197.98,61624.46,59766.63,57264.86,59139.48,58669.21,57537.82,53953.05,56451.49,55064.66,54032.32,52860.56,48422.36,44467.94
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
